submission_id,group,StimID,AnswerCertainty,AnswerPolarity,ContextType,attention_score,reasoning_score,posterior_confidence,prior_confidence,posterior_sliderResponse,prior_sliderResponse,relevance_sliderResponse,first_order_belief_change,second_order_belief_change,entropy_change,kl_utility,bayes_factor_utility,beta_kl_utility,beta_entropy_change,beta_bayes_factor_utility,pure_second_order_belief_change,prior_beta_for_kl_a,prior_beta_for_kl_b,posterior_beta_for_kl_a,posterior_beta_for_kl_b,prior_beta_for_entropy_a,prior_beta_for_entropy_b,posterior_beta_for_entropy_a,posterior_beta_for_entropy_b,prior_beta_for_bf_a,prior_beta_for_bf_b,posterior_beta_for_bf_a,posterior_beta_for_bf_b,prior_beta_for_2nd_order_change_a,prior_beta_for_2nd_order_change_b,posterior_beta_for_2nd_order_change_a,posterior_beta_for_2nd_order_change_b
5794,relevant,2,non_answer,positive,neutral,1.0,0.875,4,4,0.7000000000000001,0.7000000000000001,0.04,0.0,0,0.0,0.0,1.1102230249999998e-16,0.0,0.0,0.6931471806,0.0,26.9264427616,12.1113326121,26.9264427616,12.1113326121,1.0006543167,1.0002804215,1.0006543167,1.0002804215,577.8923716693,248.2395878583,577.8923716693,248.2395878583,14.7249029262,6.8821012541,14.7249029262,6.8821012541
5794,relevant,3,low_certainty,positive,negative,1.0,0.875,2,3,0.5,0.25,0.11,0.25,1,0.1887218755,0.3798721295,0.6666666667000001,0.8128152406,8.11e-08,4.1971716232,5.3734707989,5.6138965945,14.8416897836,5.3593091572,5.3593091572,1.0001929018,1.0005787055,1.0003042449,1.0003042449,18.1293030411,52.3879091232,3.0096143564,3.0096143564,3.005451081,7.0163532431,2.3241667626,2.3241667626
5794,relevant,5,exhaustive,positive,negative,1.0,0.875,6,5,0.95,0.1,1.0,0.85,1,0.1825986365,0.9986727122,0.9941520468,1.0,2.461e-07,11.6063100267,53.8518719378,8.2500328563,66.2502957071,134.1687624428,8.0088822338,1.0001097882,1.0009880941,1.0011979879,1.000063052,968.6403238097,8709.7629142877,107715.4445270265,5670.1812908961,5.4584688201,41.1262193808,94.5147321318,5.9218280069
5794,relevant,6,high_certainty,positive,neutral,1.0,0.875,4,3,0.76,0.63,0.84,0.13,1,0.1556318133,0.1206016646,0.4623044097,0.4609110822,1.052e-07,6.6301750076,11.5851998563,12.6270194183,7.8285669599,29.1487092841,9.8890660897,1.0004861126,1.0002854947,1.000710401,1.0002243372,44.1658436635,26.3513685008,627.3402892409,198.7916702866,6.0537367242,3.9680675999,15.9013231771,5.7056810033000005
5794,relevant,7,high_certainty,positive,negative,1.0,0.875,5,2,0.78,0.18,0.56,0.6000000000000001,3,0.0800904572,0.9414517046,0.9380863039,0.9944520645,1.6690000000000005e-07,9.1772368476,41.9363546757,2.5693512966,8.1492670178,57.5502562795,16.950072284,1.0001095281,1.0004989616,1.0008563483,1.0002415341,1.7234611683,4.2957675446,7548.594525716,2129.8087123814,1.4767000345,3.1716334907,35.7760567967,10.8086314042
5794,relevant,8,high_certainty,negative,positive,1.0,0.875,4,2,0.16,0.54,0.33,0.38,2,0.3610688842,0.6443462369,0.8377425044,0.9221194126,2.096e-07,6.7118775278000005,16.9586706552,5.7080538898,5.0105644246,6.9260440598,32.111731314,1.0003285844,1.0002799053,1.0001495581,1.0007851801,3.170383505,2.8488452079,132.8611135244,693.2708460031,2.4301001036,2.2182334216,4.1371206689,17.4698835115
5794,relevant,9,low_certainty,negative,negative,1.0,0.875,5,4,0.04,0.09,0.65,0.05,1,0.194177628,0.0608913215,0.5787037037,0.5199433382,2.0700000000000001e-07,9.0886552519,24.9776840206,4.3333997836,34.7043755901,3.9000131425,70.6003154209,1.0000841264,1.0008506118,1.0000439153,1.0010539671,75.1718763575,750.96008317,388.0561295239,9290.3471085735,2.7646303762,18.8423738041,2.783387528,43.8013006729
5794,relevant,10,non_answer,positive,positive,1.0,0.875,2,1,0.48,0.48,0.04,0.0,1,0.0,0.0,0.0,0.0638046066,1.54e-08,2.0156277761,2.4923340802,2.7359194762,2.8805794325000003,5.1849367909,5.5336815235,1.000213785,1.0002316004,1.0002920751,1.0003164147,0.2866197164,0.2271713594,2.9292297822,3.0899989307,1.0748797336,1.0811197114,2.2712000921,2.3771334331
5794,relevant,11,exhaustive,negative,positive,1.0,0.875,7,3,0.01,0.63,0.98,0.62,4,0.8698789568,0.9549112104,0.9940676607,1.0,9.1e-07,14.0993960176,206.519359781,12.6270194183,7.8285669599,3.6933414088,267.6407994679,1.0004861126,1.0002854947,1.0000142421,1.0014099686,44.1658436635,26.3513685008,13284.4729748693,1315064.8245120605,6.0537367242,3.9680675999,3.1454116411,213.395752464
5794,relevant,12,high_certainty,negative,neutral,1.0,0.875,6,3,0.01,0.2,0.61,0.19,3,0.6411349590000001,0.4518933882,0.9595959596,0.9975325018,6.271e-07,11.6379454383,90.4147558146,4.6911172756,15.7644691026,2.4017764468,139.7758682298,1.0001543215,1.0006172858,1.0000126104,1.0012484295,14.7034424329,55.8137697315,1134.8362581792,112250.7895597434,2.6043608648000003,7.4174434593,1.9843656014,98.4521945373
